step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
497,263761,497,0.004378711963560554,1.0,1.0
498,264242,498,0.001426560741325824,1.0,1.0
499,264723,499,0.03292709444125389,0.0,0.9966442953020134
500,265204,500,0.001547300002253997,1.0,1.0
501,266085,501,0.011241083650372526,0.0,0.9953198127925117
502,266750,502,0.010525035477162279,0.0,0.9977064220183486
503,267207,503,0.011746459978679027,0.0,0.9963503649635036
504,267784,504,0.0026240426072390312,1.0,1.0
505,268265,505,0.0016427040142555352,1.0,1.0
506,268746,506,0.0019849414881101418,1.0,1.0
507,269227,507,0.007799577257367895,0.0,0.9966555183946488
508,269708,508,0.0013850443767145035,1.0,1.0
509,270301,509,0.002902494849501755,1.0,1.0
510,270782,510,0.001586713516981913,1.0,1.0
511,271255,511,0.0015856285176358799,1.0,1.0
512,272104,512,0.030028588479004064,0.0,0.9831365935919055
513,272585,513,0.0021910925585715444,1.0,1.0
514,273066,514,0.002079963416708872,1.0,1.0
515,273635,515,0.0028235629490041122,1.0,1.0
516,274108,516,0.0024451729719941868,1.0,1.0
517,274677,517,0.0031669058521192595,1.0,1.0
518,275150,518,0.0014875622290637287,1.0,1.0
519,275639,519,0.0014725204746964004,1.0,1.0
520,276120,520,0.0016555906599462428,1.0,1.0
